Species	Category	Count	Percentage
Dyak_NY73PB	C	2769	98.9282
Dyak_NY73PB	D	17	0.60736
Dyak_NY73PB	F	15	0.535906
Dyak_NY73PB	M	15	0.535906
Dyak_NY73PB	N	2799	100
Dyak_NY73PB	S	2752	98.3208
Dsim_w501	C	2754	98.3923
Dsim_w501	D	13	0.464452
Dsim_w501	F	27	0.96463
Dsim_w501	M	18	0.643087
Dsim_w501	N	2799	100
Dsim_w501	S	2741	97.9278
Dmel_ISO1	C	2762	98.6781
Dmel_ISO1	D	14	0.500179
Dmel_ISO1	F	21	0.750268
Dmel_ISO1	M	16	0.571633
Dmel_ISO1	N	2799	100
Dmel_ISO1	S	2748	98.1779
Dyak_Tai18E2	C	2767	98.8567
Dyak_Tai18E2	D	16	0.571633
Dyak_Tai18E2	F	17	0.60736
Dyak_Tai18E2	M	15	0.535906
Dyak_Tai18E2	N	2799	100
Dyak_Tai18E2	S	2751	98.2851
Dtei_GT53w	C	2765	98.7853
Dtei_GT53w	D	17	0.60736
Dtei_GT53w	F	18	0.643087
Dtei_GT53w	M	16	0.571633
Dtei_GT53w	N	2799	100
Dtei_GT53w	S	2748	98.1779
Dsan_STOCAGO1482	C	2772	99.0354
Dsan_STOCAGO1482	D	15	0.535906
Dsan_STOCAGO1482	F	16	0.571633
Dsan_STOCAGO1482	M	11	0.392997
Dsan_STOCAGO1482	N	2799	100
Dsan_STOCAGO1482	S	2757	98.4995
Dyak_caf1	C	2751	98.2851
Dyak_caf1	D	73	2.60807
Dyak_caf1	F	25	0.893176
Dyak_caf1	M	23	0.821722
Dyak_caf1	N	2799	100
Dyak_caf1	S	2678	95.677
