Species	Category	Count	Percentage
Dyak_NY73PB	C	2641	94.3551
Dyak_NY73PB	D	13	0.464452
Dyak_NY73PB	F	81	2.89389
Dyak_NY73PB	M	77	2.75098
Dyak_NY73PB	N	2799	100
Dyak_NY73PB	S	2628	93.8907
Dsim_w501	C	2755	98.428
Dsim_w501	D	15	0.535906
Dsim_w501	F	24	0.857449
Dsim_w501	M	20	0.714541
Dsim_w501	N	2799	100
Dsim_w501	S	2740	97.8921
Dmel_ISO1	C	2775	99.1426
Dmel_ISO1	D	16	0.571633
Dmel_ISO1	F	12	0.428725
Dmel_ISO1	M	12	0.428725
Dmel_ISO1	N	2799	100
Dmel_ISO1	S	2759	98.5709
Dyak_Tai18E2	C	2654	94.8196
Dyak_Tai18E2	D	14	0.500179
Dyak_Tai18E2	F	71	2.53662
Dyak_Tai18E2	M	74	2.6438
Dyak_Tai18E2	N	2799	100
Dyak_Tai18E2	S	2640	94.3194
Dtei_GT53w	C	2630	93.9621
Dtei_GT53w	D	35	1.25045
Dtei_GT53w	F	83	2.96534
Dtei_GT53w	M	86	3.07253
Dtei_GT53w	N	2799	100
Dtei_GT53w	S	2595	92.7117
Dsan_STOCAGO1482	C	2645	94.498
Dsan_STOCAGO1482	D	11	0.392997
Dsan_STOCAGO1482	F	83	2.96534
Dsan_STOCAGO1482	M	71	2.53662
Dsan_STOCAGO1482	N	2799	100
Dsan_STOCAGO1482	S	2634	94.105
Dyak_caf1	C	2744	98.035
Dyak_caf1	D	69	2.46517
Dyak_caf1	F	25	0.893176
Dyak_caf1	M	30	1.07181
Dyak_caf1	N	2799	100
Dyak_caf1	S	2675	95.5698
