OG	Dsan_STOCAGO1482	Dsim_w501	Dtei_GT53w	Dyak_NY73PB	Dmel_ISO1
OG0001403.intron14	jg5032.t2.intron14	FBtr0349209.intron9	jg14168.t1.intron12	jg14318.t1.intron12	FBtr0078164.intron8
OG0001404.intron1	jg5031.t2.intron1	FBtr0360086.intron1	jg14167.t2.intron1	jg14319.t1.intron1	FBtr0078100.intron1
OG0001406.intron1	jg5026.t1.intron1	FBtr0222901.intron1	jg14161.t1.intron1	jg14324.t1.intron1	FBtr0301452.intron1
OG0001406.intron2	jg5026.t1.intron2	FBtr0222901.intron2	jg14161.t1.intron2	jg14324.t1.intron2	FBtr0301452.intron2
OG0001406.intron3	jg5026.t1.intron3	FBtr0222901.intron3	jg14161.t1.intron3	jg14324.t1.intron3	FBtr0301452.intron3
OG0001406.intron4	jg5026.t1.intron4	FBtr0222901.intron4	jg14161.t1.intron4	jg14324.t1.intron4	FBtr0301452.intron4
OG0001407.intron1	jg5025.t1.intron1	FBtr0348998.intron1	jg14160.t1.intron1	jg14325.t2.intron1	FBtr0089429.intron1
OG0001407.intron2	jg5025.t1.intron2	FBtr0348998.intron2	jg14160.t1.intron2	jg14325.t2.intron2	FBtr0089429.intron2
OG0001408.intron1	jg5024.t1.intron1	FBtr0222899.intron1	jg14159.t1.intron1	jg14326.t1.intron1	FBtr0078156.intron1
OG0001408.intron2	jg5024.t1.intron2	FBtr0222899.intron2	jg14159.t1.intron2	jg14326.t1.intron2	FBtr0078156.intron2
OG0001408.intron3	jg5024.t1.intron3	FBtr0222899.intron3	jg14159.t1.intron3	jg14326.t1.intron3	FBtr0078156.intron3
OG0001408.intron4	jg5024.t1.intron4	FBtr0222899.intron4	jg14159.t1.intron4	jg14326.t1.intron4	FBtr0078156.intron4
OG0001408.intron5	jg5024.t1.intron5	FBtr0222899.intron5	jg14159.t1.intron5	jg14326.t1.intron5	FBtr0078156.intron5
OG0001408.intron6	jg5024.t1.intron6	FBtr0222899.intron6	jg14159.t1.intron6	jg14326.t1.intron6	FBtr0078156.intron6
OG0001408.intron7	jg5024.t1.intron7	FBtr0222899.intron7	jg14159.t1.intron7	jg14326.t1.intron7	FBtr0078156.intron7
OG0001409.intron1	jg5021.t1.intron1	FBtr0347781.intron1	jg14156.t1.intron1	jg14329.t1.intron1	FBtr0302194.intron1
OG0001410.intron1	jg5020.t1.intron1	FBtr0222895.intron1	jg14154.t1.intron1	jg14331.t1.intron1	FBtr0330645.intron1
OG0001410.intron5	jg5020.t1.intron5	FBtr0222895.intron1	jg14154.t1.intron1	jg14331.t1.intron1	FBtr0330645.intron1
OG0001412.intron1	jg5018.t1.intron1	FBtr0356697.intron1	jg14152.t1.intron1	jg14333.t1.intron1	FBtr0301929.intron1
OG0001412.intron2	jg5018.t1.intron2	FBtr0356697.intron2	jg14152.t1.intron2	jg14333.t1.intron2	FBtr0301929.intron2
OG0001412.intron3	jg5018.t1.intron3	FBtr0356697.intron3	jg14152.t1.intron3	jg14333.t1.intron3	FBtr0301929.intron3
OG0001412.intron4	jg5018.t1.intron4	FBtr0356697.intron4	jg14152.t1.intron4	jg14333.t1.intron4	FBtr0301929.intron4
OG0001412.intron5	jg5018.t1.intron5	FBtr0356697.intron5	jg14152.t1.intron5	jg14333.t1.intron5	FBtr0301929.intron5
OG0001412.intron6	jg5018.t1.intron6	FBtr0356697.intron6	jg14152.t1.intron6	jg14333.t1.intron6	FBtr0301929.intron6
OG0001412.intron7	jg5018.t1.intron7	FBtr0356697.intron7	jg14152.t1.intron7	jg14333.t1.intron7	FBtr0301929.intron7
OG0001415.intron1	jg5015.t1.intron1	FBtr0222915.intron1	jg14149.t1.intron1	jg14336.t1.intron1	FBtr0078119.intron1
OG0001415.intron2	jg5015.t1.intron2	FBtr0222915.intron2	jg14149.t1.intron2	jg14336.t1.intron2	FBtr0078119.intron2
OG0001416.intron1	jg5014.t1.intron1	FBtr0222890.intron1	jg14148.t1.intron1	jg14337.t1.intron1	FBtr0091612.intron1
OG0001417.intron2	jg5013.t1.intron2	FBtr0356417.intron2	jg14147.t2.intron2	jg14338.t1.intron2	FBtr0078122.intron2
OG0001417.intron3	jg5013.t1.intron3	FBtr0356417.intron3	jg14147.t2.intron3	jg14338.t1.intron3	FBtr0078122.intron3
OG0001417.intron8	jg5013.t1.intron8	FBtr0356417.intron9	jg14147.t2.intron12	jg14338.t1.intron8	FBtr0078122.intron8
OG0001418.intron1	jg5012.t1.intron1	FBtr0222918.intron1	jg14145.t1.intron1	jg14339.t1.intron1	FBtr0078124.intron1
OG0001422.intron1	jg5005.t1.intron1	FBtr0222886.intron1	jg14138.t1.intron1	jg14345.t1.intron1	FBtr0078143.intron1
OG0001422.intron2	jg5005.t1.intron2	FBtr0222886.intron2	jg14138.t1.intron2	jg14345.t1.intron2	FBtr0078143.intron2
OG0001422.intron3	jg5005.t1.intron3	FBtr0222886.intron3	jg14138.t1.intron3	jg14345.t1.intron3	FBtr0078143.intron3
OG0001422.intron4	jg5005.t1.intron4	FBtr0222886.intron4	jg14138.t1.intron4	jg14345.t1.intron4	FBtr0078143.intron4
OG0001423.intron4	jg5004.t1.intron4	FBtr0222885.intron3	jg14137.t1.intron2	jg14346.t1.intron3	FBtr0078140.intron3
OG0001428.intron1	jg4999.t1.intron1	FBtr0361032.intron1	jg14131.t1.intron1	jg14351.t1.intron1	FBtr0300804.intron1
OG0001428.intron2	jg4999.t1.intron2	FBtr0361032.intron2	jg14131.t1.intron2	jg14351.t1.intron2	FBtr0300804.intron2
OG0001428.intron3	jg4999.t1.intron3	FBtr0361032.intron3	jg14131.t1.intron3	jg14351.t1.intron3	FBtr0300804.intron3
OG0001429.intron2	jg4998.t1.intron2	FBtr0222923.intron2	jg14130.t1.intron2	jg14352.t1.intron1	FBtr0078129.intron2
OG0001429.intron3	jg4998.t1.intron3	FBtr0222923.intron3	jg14130.t1.intron3	jg14352.t1.intron2	FBtr0078129.intron3
OG0001430.intron1	jg4997.t1.intron1	FBtr0222881.intron1	jg14129.t1.intron1	jg14353.t1.intron1	FBtr0078137.intron1
OG0001431.intron1	jg4996.t1.intron1	FBtr0358402.intron1	jg14128.t1.intron1	jg14354.t1.intron1	FBtr0078136.intron1
OG0001431.intron2	jg4996.t1.intron2	FBtr0358402.intron2	jg14128.t1.intron2	jg14354.t1.intron2	FBtr0078136.intron2
OG0001434.intron1	jg4992.t1.intron1	FBtr0222877.intron1	jg14124.t1.intron1	jg14358.t1.intron1	FBtr0078133.intron1
OG0001435.intron1	jg4991.t1.intron1	FBtr0222925.intron1	jg14123.t1.intron1	jg14359.t1.intron1	FBtr0078131.intron1
OG0001435.intron2	jg4991.t1.intron2	FBtr0222925.intron2	jg14123.t1.intron2	jg14359.t1.intron2	FBtr0078131.intron2
OG0001435.intron3	jg4991.t1.intron3	FBtr0222925.intron3	jg14123.t1.intron3	jg14359.t1.intron3	FBtr0078131.intron3
OG0001436.intron2	jg4990.t1.intron3	FBtr0222926.intron2	jg14122.t1.intron2	jg14360.t1.intron1	FBtr0331205.intron1
OG0001437.intron2	jg4984.t3.intron2	FBtr0222927.intron4	jg14116.t1.intron3	jg14366.t1.intron2	FBtr0078050.intron4
OG0001437.intron3	jg4984.t3.intron3	FBtr0222927.intron5	jg14116.t1.intron4	jg14366.t1.intron3	FBtr0078050.intron5
OG0001437.intron4	jg4984.t3.intron4	FBtr0222927.intron6	jg14116.t1.intron5	jg14366.t1.intron4	FBtr0078050.intron6
OG0001437.intron9	jg4984.t3.intron9	FBtr0222927.intron11	jg14116.t1.intron11	jg14366.t1.intron9	FBtr0078050.intron11
OG0001437.intron13	jg4984.t3.intron13	FBtr0222927.intron15	jg14116.t1.intron16	jg14366.t1.intron13	FBtr0078050.intron15
OG0001443.intron1	jg4983.t1.intron1	FBtr0222872.intron1	jg14115.t1.intron1	jg14367.t1.intron1	FBtr0078094.intron1
OG0001443.intron2	jg4983.t1.intron2	FBtr0222872.intron2	jg14115.t1.intron2	jg14367.t1.intron2	FBtr0078094.intron2
OG0001443.intron3	jg4983.t1.intron3	FBtr0222872.intron3	jg14115.t1.intron3	jg14367.t1.intron3	FBtr0078094.intron3
OG0001444.intron1	jg4980.t1.intron1	FBtr0222930.intron1	jg14113.t1.intron2	jg14369.t1.intron1	FBtr0078053.intron1
OG0001445.intron1	jg4979.t1.intron1	FBtr0222871.intron1	jg14112.t1.intron1	jg14370.t1.intron1	FBtr0078093.intron1
OG0001445.intron2	jg4979.t1.intron2	FBtr0222871.intron2	jg14112.t1.intron2	jg14370.t1.intron2	FBtr0078093.intron2
OG0001445.intron3	jg4979.t1.intron3	FBtr0222871.intron3	jg14112.t1.intron3	jg14370.t1.intron3	FBtr0078093.intron3
OG0001446.intron1	jg4978.t1.intron1	FBtr0222931.intron1	jg14111.t1.intron1	jg14371.t1.intron1	FBtr0078054.intron1
OG0001446.intron2	jg4978.t1.intron2	FBtr0222931.intron2	jg14111.t1.intron2	jg14371.t1.intron2	FBtr0078054.intron2
OG0001447.intron2	jg4977.t1.intron2	FBtr0222870.intron2	jg14110.t1.intron2	jg14372.t1.intron2	FBtr0089489.intron2
OG0001447.intron3	jg4977.t1.intron3	FBtr0222870.intron3	jg14110.t1.intron3	jg14372.t1.intron3	FBtr0089489.intron3
OG0001447.intron6	jg4977.t1.intron6	FBtr0222870.intron6	jg14110.t1.intron7	jg14372.t1.intron6	FBtr0089489.intron6
OG0001447.intron7	jg4977.t1.intron7	FBtr0222870.intron7	jg14110.t1.intron8	jg14372.t1.intron7	FBtr0089489.intron7
OG0001448.intron1	jg4975.t1.intron1	FBtr0222932.intron1	jg14108.t1.intron1	jg14373.t1.intron1	FBtr0078055.intron1
OG0001450.intron1	jg4973.t1.intron1	FBtr0222933.intron1	jg14105.t1.intron1	jg14375.t1.intron1	FBtr0078056.intron1
OG0001453.intron2	jg4970.t1.intron2	FBtr0222935.intron2	jg14102.t1.intron2	jg14378.t1.intron2	FBtr0078058.intron2
OG0001454.intron2	jg4968.t1.intron2	FBtr0222936.intron2	jg14101.t1.intron2	jg14379.t1.intron2	FBtr0078059.intron2
OG0001455.intron1	jg4967.t1.intron1	FBtr0222867.intron1	jg14100.t1.intron1	jg14380.t1.intron1	FBtr0078087.intron1
OG0001455.intron2	jg4967.t1.intron2	FBtr0222867.intron2	jg14100.t1.intron2	jg14380.t1.intron2	FBtr0078087.intron2
OG0001455.intron3	jg4967.t1.intron3	FBtr0222867.intron3	jg14100.t1.intron3	jg14380.t1.intron3	FBtr0078087.intron3
OG0001456.intron1	jg4966.t1.intron1	FBtr0222937.intron1	jg14099.t1.intron1	jg14381.t1.intron1	FBtr0078060.intron1
OG0001457.intron3	jg4965.t1.intron3	FBtr0222938.intron3	jg14098.t1.intron3	jg14382.t1.intron2	FBtr0078061.intron3
OG0001457.intron7	jg4965.t1.intron7	FBtr0222938.intron6	jg14098.t1.intron7	jg14382.t1.intron6	FBtr0078061.intron6
OG0001459.intron3	jg4963.t1.intron3	FBtr0357366.intron4	jg14094.t1.intron3	jg14384.t1.intron3	FBtr0078062.intron3
OG0001459.intron4	jg4963.t1.intron4	FBtr0357366.intron5	jg14094.t1.intron4	jg14384.t1.intron4	FBtr0078062.intron4
OG0001461.intron4	jg4961.t1.intron4	FBtr0349879.intron5	jg14092.t1.intron5	jg14386.t1.intron4	FBtr0329895.intron4
OG0001461.intron5	jg4961.t1.intron5	FBtr0349879.intron6	jg14092.t1.intron6	jg14386.t1.intron5	FBtr0329895.intron5
OG0001461.intron6	jg4961.t1.intron6	FBtr0349879.intron7	jg14092.t1.intron7	jg14386.t1.intron6	FBtr0329895.intron6
OG0001463.intron1	jg4959.t1.intron1	FBtr0359038.intron1	jg14090.t1.intron1	jg14388.t1.intron1	FBtr0078080.intron1
