OG	Dtei	Dsim	Dyak	Dmel	Dsan
OG0001182.intron8	jg2878.t1.intron8	FBtr0222906.intron6	jg117.t1.intron8	FBtr0078170.intron6	jg28.t1.intron9
OG0001183.intron1	jg2880.t1.intron1	FBtr0349209.intron1	jg120.t1.intron1	FBtr0078164.intron1	jg30.t3.intron1
OG0001183.intron2	jg2880.t1.intron2	FBtr0349209.intron2	jg120.t1.intron2	FBtr0078164.intron2	jg30.t3.intron2
OG0001183.intron11	jg2880.t1.intron11	FBtr0349209.intron9	jg120.t1.intron11	FBtr0078164.intron8	jg30.t3.intron12
OG0001183.intron14	jg2880.t1.intron14	FBtr0349209.intron12	jg120.t1.intron14	FBtr0078164.intron11	jg30.t3.intron16
OG0001183.intron15	jg2880.t1.intron15	FBtr0349209.intron13	jg120.t1.intron15	FBtr0078164.intron12	jg30.t3.intron17
OG0001184.intron1	jg2881.t1.intron1	FBtr0360086.intron1	jg121.t1.intron1	FBtr0078100.intron1	jg31.t1.intron1
OG0001186.intron11	jg2886.t1.intron2	FBtr0222910.intron2	jg125.t2.intron11	FBtr0078104.intron2	jg35.t2.intron2
OG0001187.intron1	jg2887.t1.intron1	FBtr0222901.intron1	jg126.t1.intron1	FBtr0301452.intron1	jg36.t1.intron1
OG0001187.intron2	jg2887.t1.intron2	FBtr0222901.intron2	jg126.t1.intron2	FBtr0301452.intron2	jg36.t1.intron2
OG0001187.intron3	jg2887.t1.intron3	FBtr0222901.intron3	jg126.t1.intron3	FBtr0301452.intron3	jg36.t1.intron3
OG0001187.intron4	jg2887.t1.intron4	FBtr0222901.intron4	jg126.t1.intron4	FBtr0301452.intron4	jg36.t1.intron4
OG0001188.intron1	jg2888.t2.intron1	FBtr0348998.intron1	jg127.t2.intron1	FBtr0089429.intron1	jg37.t1.intron1
OG0001188.intron2	jg2888.t2.intron2	FBtr0348998.intron2	jg127.t2.intron2	FBtr0089429.intron2	jg37.t1.intron2
OG0001189.intron1	jg2889.t1.intron1	FBtr0222899.intron1	jg128.t1.intron1	FBtr0078156.intron1	jg38.t1.intron1
OG0001189.intron2	jg2889.t1.intron2	FBtr0222899.intron2	jg128.t1.intron2	FBtr0078156.intron2	jg38.t1.intron2
OG0001189.intron3	jg2889.t1.intron3	FBtr0222899.intron3	jg128.t1.intron3	FBtr0078156.intron3	jg38.t1.intron3
OG0001189.intron4	jg2889.t1.intron4	FBtr0222899.intron4	jg128.t1.intron4	FBtr0078156.intron4	jg38.t1.intron4
OG0001189.intron5	jg2889.t1.intron5	FBtr0222899.intron5	jg128.t1.intron5	FBtr0078156.intron5	jg38.t1.intron5
OG0001189.intron6	jg2889.t1.intron6	FBtr0222899.intron6	jg128.t1.intron6	FBtr0078156.intron6	jg38.t1.intron6
OG0001189.intron7	jg2889.t1.intron7	FBtr0222899.intron7	jg128.t1.intron7	FBtr0078156.intron7	jg38.t1.intron7
OG0001190.intron1	jg2892.t1.intron1	FBtr0347781.intron1	jg131.t1.intron1	FBtr0302194.intron1	jg41.t1.intron1
