Asm	AsmSize	CtgN50	CtgN90	CtgL50	CtgL90	NumCtgs	ScafN50	ScafN90	ScafL50	ScafL90	NumScafs
Dyak_NY73PB	150203066	13144463	2063423	4	12	126	24263191	3301995	3	7	120
Dsim_w501	124585429	162297	20502	211	956	11224	23539531	20829647	3	5	7619
Dmel_ISO1	142573024	21485538	666663	3	17	2442	25286936	23513712	3	5	1870
Dyak_Tai18E2	147953640	18744349	1442533	4	12	66	25180726	23815364	3	5	55
Dtei_GT53w	153722366	5722200	791631	6	32	145	24553518	1508976	3	8	112
Dsan_STOCAGO1482	148826649	10765631	943476	4	22	122	25613778	1400439	3	9	108
Dyak_Miller	143252825	5227393	823149	9	36	111	5227393	823149	9	36	111
Dyak_caf1	162581874	114746	4157	277	3432	13522	21770863	13420	4	460	8122
