OG	Dmel_ISO1_proteome	Dsan_STOCAGO1482_proteome	Dsim_w501_proteome	Dtei_GT53w_proteome	Dyak_NY73PB_proteome	Dyak_Tai18E2_proteome
OG0001402	FBtr0078170	jg5034.t1	FBtr0222906	jg14170.t1	jg14315.t1	jg5057.t1
OG0001403	FBtr0078164	jg5032.t2	FBtr0349209	jg14168.t1	jg14318.t1	jg5054.t1
OG0001404	FBtr0078100	jg5031.t2	FBtr0360086	jg14167.t2	jg14319.t1	jg5053.t1
OG0001405	FBtr0290323	jg5030.t1	FBtr0222903	jg14166.t1	jg14321.t1	jg5052.t1
OG0001406	FBtr0301452	jg5026.t1	FBtr0222901	jg14161.t1	jg14324.t1	jg5049.t1
OG0001407	FBtr0089429	jg5025.t1	FBtr0348998	jg14160.t1	jg14325.t2	jg5048.t1
OG0001408	FBtr0078156	jg5024.t1	FBtr0222899	jg14159.t1	jg14326.t1	jg5047.t1
OG0001409	FBtr0302194	jg5021.t1	FBtr0347781	jg14156.t1	jg14329.t1	jg5044.t1
OG0001410	FBtr0330645	jg5020.t1	FBtr0222895	jg14154.t1	jg14331.t1	jg5042.t1
OG0001411	FBtr0078116	jg5019.t1	FBtr0222913	jg14153.t1	jg14332.t1	jg5041.t1
OG0001412	FBtr0301929	jg5018.t1	FBtr0356697	jg14152.t1	jg14333.t1	jg5040.t1
OG0001413	FBtr0078147	jg5017.t1	FBtr0222891	jg14151.t1	jg14334.t1	jg5039.t1
OG0001414	FBtr0078117	jg5016.t1	FBtr0222914	jg14150.t1	jg14335.t1	jg5038.t1
OG0001415	FBtr0078119	jg5015.t1	FBtr0222915	jg14149.t1	jg14336.t1	jg5037.t1
OG0001416	FBtr0091612	jg5014.t1	FBtr0222890	jg14148.t1	jg14337.t1	jg5036.t1
OG0001417	FBtr0078122	jg5013.t1	FBtr0356417	jg14147.t2	jg14338.t1	jg5035.t1
OG0001418	FBtr0078124	jg5012.t1	FBtr0222918	jg14145.t1	jg14339.t1	jg5034.t1
OG0001419	FBtr0078146	jg5011.t1	FBtr0352123	jg14144.t1	jg14340.t1	jg5033.t1
OG0001420	FBtr0299837	jg5006.t1	FBtr0362033	jg14139.t1	jg14344.t1	jg5029.t1
OG0001421	FBtr0078126	jg5007.t1	FBtr0356926	jg14140.t1	jg14343.t1	jg5030.t1
OG0001422	FBtr0078143	jg5005.t1	FBtr0222886	jg14138.t1	jg14345.t1	jg5028.t1
OG0001423	FBtr0078140	jg5004.t1	FBtr0222885	jg14137.t1	jg14346.t1	jg5027.t1
OG0001424	FBtr0078142	jg5003.t1	FBtr0222884	jg14135.t1	jg14347.t1	jg5026.t1
OG0001425	FBtr0078127	jg5002.t1	FBtr0222921	jg14134.t1	jg14348.t1	jg5025.t1
OG0001426	FBtr0078139	jg5001.t1	FBtr0222883	jg14133.t1	jg14349.t1	jg5024.t1
OG0001427	FBtr0078128	jg5000.t1	FBtr0222922	jg14132.t1	jg14350.t1	jg5023.t1
OG0001428	FBtr0300804	jg4999.t1	FBtr0361032	jg14131.t1	jg14351.t1	jg5022.t1
OG0001429	FBtr0078129	jg4998.t1	FBtr0222923	jg14130.t1	jg14352.t1	jg5021.t1
OG0001430	FBtr0078137	jg4997.t1	FBtr0222881	jg14129.t1	jg14353.t1	jg5020.t1
OG0001431	FBtr0078136	jg4996.t1	FBtr0358402	jg14128.t1	jg14354.t1	jg5019.t1
OG0001432	FBtr0078134	jg4994.t1	FBtr0363965	jg14126.t1	jg14356.t1	jg5017.t1
OG0001433	FBtr0078130	jg4993.t1	FBtr0222924	jg14125.t1	jg14357.t1	jg5016.t1
OG0001434	FBtr0078133	jg4992.t1	FBtr0222877	jg14124.t1	jg14358.t1	jg5015.t1
OG0001435	FBtr0078131	jg4991.t1	FBtr0222925	jg14123.t1	jg14359.t1	jg5014.t1
OG0001436	FBtr0331205	jg4990.t1	FBtr0222926	jg14122.t1	jg14360.t1	jg5013.t1
OG0001437	FBtr0078050	jg4984.t3	FBtr0222927	jg14116.t1	jg14366.t1	jg5007.t1
OG0001438	FBtr0078099	jg4989.t1	FBtr0222876	jg14121.t1	jg14361.t1	jg5012.t1
OG0001439	FBtr0078098	jg4988.t1	FBtr0222875	jg14120.t1	jg14362.t1	jg5011.t1
OG0001440	FBtr0078052	jg4987.t1	FBtr0348559	jg14119.t1	jg14363.t1	jg5010.t1
OG0001441	FBtr0330696	jg4986.t1	FBtr0361093	jg14118.t1	jg14364.t1	jg5009.t1
OG0001442	FBtr0078096	jg4985.t1	FBtr0222873	jg14117.t1	jg14365.t1	jg5008.t1
OG0001443	FBtr0078094	jg4983.t1	FBtr0222872	jg14115.t1	jg14367.t1	jg5006.t1
OG0001444	FBtr0078053	jg4980.t1	FBtr0222930	jg14113.t1	jg14369.t1	jg5004.t1
OG0001445	FBtr0078093	jg4979.t1	FBtr0222871	jg14112.t1	jg14370.t1	jg5003.t1
OG0001446	FBtr0078054	jg4978.t1	FBtr0222931	jg14111.t1	jg14371.t1	jg5002.t1
OG0001447	FBtr0089489	jg4977.t1	FBtr0222870	jg14110.t1	jg14372.t1	jg5001.t1
OG0001448	FBtr0078055	jg4975.t1	FBtr0222932	jg14108.t1	jg14373.t1	jg5000.t1
OG0001449	FBtr0078090	jg4974.t1	FBtr0222869	jg14106.t1	jg14374.t1	jg4999.t1
OG0001450	FBtr0078056	jg4973.t1	FBtr0222933	jg14105.t1	jg14375.t1	jg4998.t1
OG0001451	FBtr0078089	jg4972.t1	FBtr0222868	jg14104.t1	jg14376.t1	jg4997.t1
OG0001452	FBtr0078057	jg4971.t1	FBtr0222934	jg14103.t1	jg14377.t1	jg4996.t1
OG0001453	FBtr0078058	jg4970.t1	FBtr0222935	jg14102.t1	jg14378.t1	jg4995.t1
OG0001454	FBtr0078059	jg4968.t1	FBtr0222936	jg14101.t1	jg14379.t1	jg4993.t1
OG0001455	FBtr0078087	jg4967.t1	FBtr0222867	jg14100.t1	jg14380.t1	jg4992.t1
OG0001456	FBtr0078060	jg4966.t1	FBtr0222937	jg14099.t1	jg14381.t1	jg4991.t1
OG0001457	FBtr0078061	jg4965.t1	FBtr0222938	jg14098.t1	jg14382.t1	jg4990.t1
OG0001458	FBtr0310034	jg4964.t1	FBtr0361668	jg14097.t1	jg14383.t1	jg4989.t1
OG0001459	FBtr0078062	jg4963.t1	FBtr0357366	jg14094.t1	jg14384.t1	jg4988.t1
OG0001460	FBtr0078083	jg4962.t1	FBtr0222864	jg14093.t1	jg14385.t1	jg4987.t1
OG0001461	FBtr0329895	jg4961.t1	FBtr0349879	jg14092.t1	jg14386.t1	jg4986.t1
OG0001462	FBtr0078081	jg4960.t1	FBtr0222863	jg14091.t1	jg14387.t1	jg4985.t1
